timestamp,device_id,device_name,latency_ms
2025-08-13 00:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,7.0
2025-08-13 00:00:00,dev-2,WNC DT-EXT03A-WNC,9.64
2025-08-13 00:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.71
2025-08-13 01:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,7.66
2025-08-13 01:00:00,dev-2,WNC DT-EXT03A-WNC,12.17
2025-08-13 01:00:00,dev-4,WNC DT-EXT01A-WNC (B),17.4
2025-08-13 02:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,4.07
2025-08-13 02:00:00,dev-2,WNC DT-EXT03A-WNC,10.72
2025-08-13 02:00:00,dev-4,WNC DT-EXT01A-WNC (B),18.22
2025-08-13 03:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,6.11
2025-08-13 03:00:00,dev-2,WNC DT-EXT03A-WNC,10.45
2025-08-13 03:00:00,dev-4,WNC DT-EXT01A-WNC (B),19.58
2025-08-13 04:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,9.57
2025-08-13 04:00:00,dev-2,WNC DT-EXT03A-WNC,11.84
2025-08-13 04:00:00,dev-4,WNC DT-EXT01A-WNC (B),22.51
2025-08-13 05:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,10.35
2025-08-13 05:00:00,dev-2,WNC DT-EXT03A-WNC,6.32
2025-08-13 05:00:00,dev-4,WNC DT-EXT01A-WNC (B),23.51
2025-08-13 06:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,12.3
2025-08-13 06:00:00,dev-2,WNC DT-EXT03A-WNC,8.93
2025-08-13 06:00:00,dev-4,WNC DT-EXT01A-WNC (B),24.72
2025-08-13 07:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,12.49
2025-08-13 07:00:00,dev-2,WNC DT-EXT03A-WNC,11.48
2025-08-13 07:00:00,dev-4,WNC DT-EXT01A-WNC (B),25.0
2025-08-13 08:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,16.36
2025-08-13 08:00:00,dev-2,WNC DT-EXT03A-WNC,9.31
2025-08-13 08:00:00,dev-4,WNC DT-EXT01A-WNC (B),25.0
2025-08-13 11:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,18.73
2025-08-13 11:00:00,dev-2,WNC DT-EXT03A-WNC,17.29
2025-08-13 11:00:00,dev-4,WNC DT-EXT01A-WNC (B),22.19
2025-08-13 12:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,17.64
2025-08-13 12:00:00,dev-2,WNC DT-EXT03A-WNC,16.62
2025-08-13 12:00:00,dev-4,WNC DT-EXT01A-WNC (B),24.6
2025-08-13 13:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,15.14
2025-08-13 13:00:00,dev-2,WNC DT-EXT03A-WNC,20.0
2025-08-13 13:00:00,dev-4,WNC DT-EXT01A-WNC (B),23.31
2025-08-13 14:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,16.1
2025-08-13 14:00:00,dev-2,WNC DT-EXT03A-WNC,21.42
2025-08-13 14:00:00,dev-4,WNC DT-EXT01A-WNC (B),23.42
2025-08-13 15:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,12.91
2025-08-13 15:00:00,dev-2,WNC DT-EXT03A-WNC,20.88
2025-08-13 15:00:00,dev-4,WNC DT-EXT01A-WNC (B),22.03
2025-08-13 16:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,14.22
2025-08-13 16:00:00,dev-2,WNC DT-EXT03A-WNC,21.22
2025-08-13 16:00:00,dev-4,WNC DT-EXT01A-WNC (B),18.91
2025-08-13 17:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,11.23
2025-08-13 17:00:00,dev-2,WNC DT-EXT03A-WNC,21.19
2025-08-13 17:00:00,dev-4,WNC DT-EXT01A-WNC (B),16.29
2025-08-13 18:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,9.38
2025-08-13 18:00:00,dev-2,WNC DT-EXT03A-WNC,19.01
2025-08-13 18:00:00,dev-4,WNC DT-EXT01A-WNC (B),16.36
2025-08-13 21:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,5.27
2025-08-13 21:00:00,dev-2,WNC DT-EXT03A-WNC,17.4
2025-08-13 21:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.76
2025-08-13 22:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,4.03
2025-08-13 22:00:00,dev-2,WNC DT-EXT03A-WNC,16.75
2025-08-13 22:00:00,dev-4,WNC DT-EXT01A-WNC (B),12.43
2025-08-13 23:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,3.69
2025-08-13 23:00:00,dev-2,WNC DT-EXT03A-WNC,12.03
2025-08-13 23:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.87
2025-08-14 00:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,4.98
2025-08-14 00:00:00,dev-2,WNC DT-EXT03A-WNC,11.86
2025-08-14 00:00:00,dev-4,WNC DT-EXT01A-WNC (B),15.45
2025-08-14 01:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,5.09
2025-08-14 01:00:00,dev-2,WNC DT-EXT03A-WNC,12.86
2025-08-14 01:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.08
2025-08-14 02:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,5.89
2025-08-14 02:00:00,dev-2,WNC DT-EXT03A-WNC,8.36
2025-08-14 02:00:00,dev-4,WNC DT-EXT01A-WNC (B),18.29
2025-08-14 03:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,6.98
2025-08-14 03:00:00,dev-2,WNC DT-EXT03A-WNC,7.41
2025-08-14 03:00:00,dev-4,WNC DT-EXT01A-WNC (B),19.34
2025-08-14 04:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,10.84
2025-08-14 04:00:00,dev-2,WNC DT-EXT03A-WNC,8.5
2025-08-14 04:00:00,dev-4,WNC DT-EXT01A-WNC (B),19.95
2025-08-14 05:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,8.47
2025-08-14 05:00:00,dev-2,WNC DT-EXT03A-WNC,9.41
2025-08-14 05:00:00,dev-4,WNC DT-EXT01A-WNC (B),20.08
2025-08-14 06:00:00,dev-2,WNC DT-EXT03A-WNC,8.52
2025-08-14 06:00:00,dev-4,WNC DT-EXT01A-WNC (B),21.2
2025-08-14 09:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,16.0
2025-08-14 09:00:00,dev-2,WNC DT-EXT03A-WNC,12.85
2025-08-14 09:00:00,dev-4,WNC DT-EXT01A-WNC (B),23.01
2025-08-14 10:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,14.83
2025-08-14 10:00:00,dev-2,WNC DT-EXT03A-WNC,13.86
2025-08-14 10:00:00,dev-4,WNC DT-EXT01A-WNC (B),24.98
2025-08-14 11:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,14.05
2025-08-14 11:00:00,dev-2,WNC DT-EXT03A-WNC,18.01
2025-08-14 11:00:00,dev-4,WNC DT-EXT01A-WNC (B),21.95
2025-08-14 12:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,13.98
2025-08-14 12:00:00,dev-2,WNC DT-EXT03A-WNC,15.65
2025-08-14 12:00:00,dev-4,WNC DT-EXT01A-WNC (B),22.62
2025-08-14 13:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,15.7
2025-08-14 13:00:00,dev-2,WNC DT-EXT03A-WNC,14.22
2025-08-14 13:00:00,dev-4,WNC DT-EXT01A-WNC (B),21.89
2025-08-14 14:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,14.97
2025-08-14 14:00:00,dev-2,WNC DT-EXT03A-WNC,20.65
2025-08-14 14:00:00,dev-4,WNC DT-EXT01A-WNC (B),23.96
2025-08-14 15:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,13.48
2025-08-14 15:00:00,dev-2,WNC DT-EXT03A-WNC,18.24
2025-08-14 15:00:00,dev-4,WNC DT-EXT01A-WNC (B),16.65
2025-08-14 16:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,10.24
2025-08-14 16:00:00,dev-2,WNC DT-EXT03A-WNC,19.4
2025-08-14 16:00:00,dev-4,WNC DT-EXT01A-WNC (B),19.32
2025-08-14 17:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,10.02
2025-08-14 17:00:00,dev-2,WNC DT-EXT03A-WNC,21.1
2025-08-14 17:00:00,dev-4,WNC DT-EXT01A-WNC (B),15.8
2025-08-14 18:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,8.23
2025-08-14 18:00:00,dev-2,WNC DT-EXT03A-WNC,16.23
2025-08-14 18:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.84
2025-08-14 19:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,6.83
2025-08-14 19:00:00,dev-2,WNC DT-EXT03A-WNC,15.88
2025-08-14 19:00:00,dev-4,WNC DT-EXT01A-WNC (B),13.3
2025-08-14 20:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,6.42
2025-08-14 20:00:00,dev-2,WNC DT-EXT03A-WNC,14.16
2025-08-14 20:00:00,dev-4,WNC DT-EXT01A-WNC (B),13.03
2025-08-14 21:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,4.32
2025-08-14 21:00:00,dev-2,WNC DT-EXT03A-WNC,13.94
2025-08-14 21:00:00,dev-4,WNC DT-EXT01A-WNC (B),11.76
2025-08-14 22:00:00,dev-1,ARCADYAN SPEEDHOMEWLAN,4.2
2025-08-14 22:00:00,dev-2,WNC DT-EXT03A-WNC,14.2
2025-08-14 22:00:00,dev-4,WNC DT-EXT01A-WNC (B),14.21
